DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime
2022-01-01 01:00:00.000	PT60M	10YCS-CG-TSO---S	CTY	ME CTY	ME	Wind Onshore	12.09		2022-01-01 04:33:36
2022-01-01 01:00:00.000	PT60M	10YCS-CG-TSO---S	BZN	ME BZN	ME	Wind Onshore	12.09		2022-01-01 04:33:35
2022-01-01 02:15:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Hydro Water Reservoir	8.67		2022-01-01 03:47:08
2022-01-01 02:15:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Waste	50.0		2022-01-01 03:47:09
2022-01-01 02:15:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Fossil Gas	186.9		2022-01-01 03:47:11
2022-01-01 02:15:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Biomass	603.0		2022-01-01 03:47:11
2022-01-01 02:15:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Other	114.0		2022-01-01 03:47:12
2022-01-01 02:15:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Other renewable	12.0		2022-01-01 03:47:12
2022-01-01 02:15:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Hydro Pumped Storage	188.07	648.61	2022-01-01 03:47:13
2022-01-01 02:15:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Hydro Run-of-river and poundage	534.65		2022-01-01 03:47:13
2022-01-01 02:15:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Fossil Oil	0.0		2022-01-01 03:47:13
2022-01-01 02:15:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Nuclear	1304.26		2022-01-01 03:47:14
2022-01-01 02:15:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Fossil Hard coal	154.03		2022-01-01 03:47:14
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTA	PL CTA	PL	Solar	0.0		2022-01-01 03:47:15
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTA	PL CTA	PL	Wind Onshore	4071.18		2022-01-01 03:47:15
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTA	PL CTA	PL	Hydro Water Reservoir	0.0		2022-01-01 03:47:16
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTA	PL CTA	PL	Fossil Coal-derived gas	63.68		2022-01-01 03:47:16
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTA	PL CTA	PL	Hydro Run-of-river and poundage	199.35		2022-01-01 08:36:05
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTA	PL CTA	PL	Hydro Pumped Storage	0.0		2022-01-01 03:47:17
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTA	PL CTA	PL	Fossil Brown coal/Lignite	2466.18		2022-01-01 03:47:17
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTA	PL CTA	PL	Fossil Hard coal	5682.59		2022-01-01 06:36:56
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTA	PL CTA	PL	Fossil Gas	1003.19		2022-01-01 03:47:18
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTA	PL CTA	PL	Fossil Oil	277.15		2022-01-01 03:47:18
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTA	PL CTA	PL	Biomass	221.36		2022-01-01 03:47:18
